Nome: CACHOEIRA PAULISTA
Codigo Estacao: A769
Latitude: -22.68888888
Longitude: -45.00555555
Altitude: 586
Situacao: Operante
Data Inicial: 2022-06-01
Data Final: 2023-08-15
Periodicidade da Medicao: Horaria

Data Medicao;Hora Medicao;PRECIPITACAO TOTAL, HORARIO(mm);PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA(mB);PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR, AUT(mB);PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB);PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB);RADIACAO GLOBAL(Kj/m²);TEMPERATURA DA CPU DA ESTACAO(°C);TEMPERATURA DO AR - BULBO SECO, HORARIA(°C);TEMPERATURA DO PONTO DE ORVALHO(°C);TEMPERATURA MAXIMA NA HORA ANT. (AUT)(°C);TEMPERATURA MINIMA NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(°C);TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(°C);TENSAO DA BATERIA DA ESTACAO(V);UMIDADE REL. MAX. NA HORA ANT. (AUT)(%);UMIDADE REL. MIN. NA HORA ANT. (AUT)(%);UMIDADE RELATIVA DO AR, HORARIA(%);VENTO, DIRECAO HORARIA (gr)(° (gr));VENTO, RAJADA MAXIMA(m/s);VENTO, VELOCIDADE HORARIA(m/s);
2022-06-01;0000;0;950.4;1018.142501;950.6;950.2;-2.232;20;18.5;18;19.1;18.5;18;17.4;12.7;97;90;97;20;2.4;0;
2022-06-01;0100;0;950.5;1018.29774;950.7;950.4;-2.843;19;18.3;18.1;18.5;18.3;18.2;18;12.7;99;97;99;105;0;0;
2022-06-01;0200;0;950.6;1018.453058;950.7;950.5;-1.03;19;18.1;18.1;18.5;18;18.2;17.9;12.6;100;97;100;295;1.1;0;
2022-06-01;0300;0;950.4;1018.238782;950.8;950.4;-.944;19;18.1;18.1;18.1;18;18.1;18;12.6;100;100;100;31;2;0;
2022-06-01;0400;0;950.2;1018.072739;950.5;950.2;-1.066;19;17.9;17.9;18.1;17.9;18.1;17.9;12.6;100;100;100;314;1.4;.1;
2022-06-01;0500;0;949.9;1017.775445;950.3;949.9;-.89;19;17.8;17.9;17.9;17.8;17.9;17.9;12.6;100;100;100;56;1.4;0;
2022-06-01;0600;0;949.5;1017.346863;949.9;949.3;-1.423;19;17.8;17.8;17.9;17.7;17.9;17.7;12.6;100;100;100;36;1.2;0;
2022-06-01;0700;0;949.5;1017.346863;949.6;949.4;-.839;19;17.8;17.8;17.9;17.8;17.9;17.8;12.6;100;100;100;224;0;0;
2022-06-01;0800;0;949.5;1017.346863;949.8;949.5;-.8;19;17.8;17.8;17.9;17.8;17.9;17.8;12.5;100;100;100;200;1.2;0;
2022-06-01;0900;0;950.9;1018.871078;950.9;949.5;-.882;19;17.7;17.7;17.8;17.7;17.8;17.7;12.5;100;100;100;283;2.5;.7;
2022-06-01;1000;0;950.9;1018.871078;951;950.6;5.277;18;17.7;17.7;17.7;17.6;17.7;17.6;12.5;100;100;100;344;2.2;0;
2022-06-01;1100;0;951.9;1019.89417;951.9;950.9;64.654;19;17.9;17.9;17.9;17.7;17.9;17.7;12.9;100;100;100;264;2.2;0;
2022-06-01;1200;0;952.1;1019.939603;952.1;951.9;285.114;20;18.6;18;18.7;17.9;18.5;17.9;13.5;100;96;97;270;1.3;0;
2022-06-01;1300;0;952.1;1019.819506;952.2;952;398.139;21;19.1;18.3;19.3;18.6;18.6;17.9;13.6;98;92;95;294;1.6;0;
2022-06-01;1400;0;951;1018.142042;952.1;951;883.523;23;21.2;17.8;21.5;19.1;18.6;17.8;14.4;95;81;81;356;2;0;
2022-06-01;1500;0;950;1017.024329;951;950;1048.132;24;21.4;18.5;21.4;20.3;18.7;17.3;14.4;88;80;84;150;3.1;.3;
2022-06-01;1600;0;948.6;1015.105131;950;948.6;1759.724;27;23.2;18.4;23.9;21.3;19;17.8;14.4;84;71;74;285;4.8;1.7;
2022-06-01;1700;0;947.3;1013.322278;948.6;947.3;2101.566;28;24.9;18.5;25.1;23;19;17.9;14.4;75;66;68;19;4.4;.9;
2022-06-01;1800;0;947;1013.001369;947.3;947;1309.057;28;24.9;17.5;25.1;24.2;18.4;17.2;14.4;68;63;64;54;5.3;2.1;
2022-06-01;1900;0;947.1;1013.246032;947.2;947;816.982;27;24.3;17.6;25.4;24.3;17.9;17.3;14.4;66;62;66;66;4.6;1.9;
2022-06-01;2000;0;947.4;1013.774671;947.4;947.1;172.016;25;23.4;17.9;24.3;23.4;17.9;17.6;13.4;71;66;71;29;4.6;.1;
2022-06-01;2100;0;947.8;1014.551897;947.8;947.4;11.476;24;21.9;18;23.4;21.9;18.1;17.8;12.7;79;71;78;42;2.5;.3;
2022-06-01;2200;0;948.2;1015.309458;948.2;947.8;-3.6;22;20.5;18.3;22.2;20.3;18.3;17.7;12.7;87;77;87;76;2.6;0;
2022-06-01;2300;0;948.5;1015.96345;948.5;948.2;-3.573;21;19.1;18.5;20.9;19.1;19;17.3;12.7;98;83;97;148;2.1;.1;
2022-06-02;0000;0;948.9;1016.439727;948.9;948.5;-3.295;20;18.9;18.9;20.6;18.6;19.6;18.2;12.7;100;88;100;189;3.1;0;
2022-06-02;0100;0;949.5;1017.178351;949.5;948.9;-3.564;19;18.5;18.5;19.3;18.5;19.2;18.2;12.7;100;96;100;109;1.9;0;
2022-06-02;0200;0;949.2;1017.09788;949.5;949.1;-3.563;19;17.5;17.5;18.9;17;18.9;16.7;12.7;100;96;100;153;2.3;.3;
2022-06-02;0300;0;948.7;1016.393385;949.2;948.7;-3.453;18;18.2;18.2;19;17.3;19;17.3;12.6;100;98;100;131;2.6;0;
2022-06-02;0400;0;948.4;1016.071979;948.7;948.4;-3.467;18;18.2;18.2;19;17.4;19;17.4;12.6;100;96;100;117;1.7;0;
2022-06-02;0500;0;947.9;1015.825823;948.4;947.9;-3.163;18;17;17;18.3;16.6;18.3;16.6;12.6;100;98;100;168;2.2;.6;
2022-06-02;0600;0;947.4;1015.169123;947.9;947.4;-3.354;18;17.5;17.5;17.8;17;17.8;17.1;12.6;100;100;100;114;1.5;0;
2022-06-02;0700;0;947.1;1015.114065;947.5;947.1;-3.259;17;16.4;16.4;17.7;16.4;17.7;16.4;12.6;100;100;100;154;2.4;.1;
