,time,id,dc_in_w,ac_out_w,daily_kwh,total_kwh,inverter_celsius,date,year,month,week_of_year,day_of_week,day,hour,minute,temp_ins,umi_ins,pto_orva,pre_ins,vel_vento,rad,chuva,hour,date
21,2022-11-08 06:01:00,054B7020C020041,2798,2720,1.7,15532.0,35.1,2022-11-08,2022,11,45,2,8,6,1,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
22,2022-11-08 06:06:00,054B7020C020041,2956,2900,1.9,15532.0,36.0,2022-11-08,2022,11,45,2,8,6,6,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
23,2022-11-08 06:11:00,054B7020C020041,3210,3100,2.2,15533.0,36.8,2022-11-08,2022,11,45,2,8,6,11,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
24,2022-11-08 06:16:00,054B7020C020041,3340,3250,2.4,15533.0,37.7,2022-11-08,2022,11,45,2,8,6,16,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
25,2022-11-08 06:21:00,054B7020C020041,3611,3470,2.7,15533.0,38.6,2022-11-08,2022,11,45,2,8,6,21,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
26,2022-11-08 06:22:00,054B7020C020041,3629,3490,2.8,15533.0,38.7,2022-11-08,2022,11,45,2,8,6,22,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
27,2022-11-08 06:27:00,054B7020C020041,3808,3660,3.1,15534.0,39.6,2022-11-08,2022,11,45,2,8,6,27,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
28,2022-11-08 06:32:00,054B7020C020041,3986,3840,3.4,15534.0,40.4,2022-11-08,2022,11,45,2,8,6,32,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
29,2022-11-08 06:37:00,054B7020C020041,4164,4040,3.7,15534.0,41.2,2022-11-08,2022,11,45,2,8,6,37,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
30,2022-11-08 06:42:00,054B7020C020041,4339,4210,4.1,15535.0,41.9,2022-11-08,2022,11,45,2,8,6,42,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
31,2022-11-08 06:47:00,054B7020C020041,4502,4370,4.4,15535.0,42.7,2022-11-08,2022,11,45,2,8,6,47,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
32,2022-11-08 06:52:00,054B7020C020041,4668,4510,4.8,15535.0,43.5,2022-11-08,2022,11,45,2,8,6,52,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
33,2022-11-08 06:57:00,054B7020C020041,4849,4670,5.2,15536.0,44.4,2022-11-08,2022,11,45,2,8,6,57,11.1,100.0,11.1,916.9,1.0,53.5,0.0,6,2022-11-08
34,2022-11-08 07:02:00,054B7020C020041,4941,4820,5.6,15536.0,45.2,2022-11-08,2022,11,45,2,8,7,2,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
35,2022-11-08 07:07:00,054B7020C020041,5106,4980,6.0,15536.0,46.3,2022-11-08,2022,11,45,2,8,7,7,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
36,2022-11-08 07:12:00,054B7020C020041,5272,5100,6.4,15537.0,47.1,2022-11-08,2022,11,45,2,8,7,12,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
37,2022-11-08 07:17:00,054B7020C020041,5333,5220,6.8,15537.0,47.8,2022-11-08,2022,11,45,2,8,7,17,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
38,2022-11-08 07:23:00,054B7020C020041,5438,5290,7.2,15538.0,48.8,2022-11-08,2022,11,45,2,8,7,23,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
39,2022-11-08 07:24:00,054B7020C020041,5438,5290,7.2,15538.0,48.8,2022-11-08,2022,11,45,2,8,7,24,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
40,2022-11-08 07:27:00,054B7020C020041,5663,5500,7.7,15538.0,49.9,2022-11-08,2022,11,45,2,8,7,27,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
41,2022-11-08 07:32:00,054B7020C020041,5761,5590,8.2,15539.0,50.7,2022-11-08,2022,11,45,2,8,7,32,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
42,2022-11-08 07:37:00,054B7020C020041,5859,5710,8.7,15539.0,51.5,2022-11-08,2022,11,45,2,8,7,37,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
43,2022-11-08 07:42:00,054B7020C020041,6015,5840,9.2,15540.0,52.2,2022-11-08,2022,11,45,2,8,7,42,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
44,2022-11-08 07:47:00,054B7020C020041,6131,5950,9.7,15540.0,53.0,2022-11-08,2022,11,45,2,8,7,47,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
45,2022-11-08 07:52:00,054B7020C020041,6216,6030,10.2,15541.0,53.6,2022-11-08,2022,11,45,2,8,7,52,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
46,2022-11-08 07:53:00,054B7020C020041,6208,6040,10.2,15541.0,53.6,2022-11-08,2022,11,45,2,8,7,53,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
47,2022-11-08 07:58:00,054B7020C020041,6276,6120,10.7,15541.0,54.3,2022-11-08,2022,11,45,2,8,7,58,13.3,88.0,11.3,917.6,1.7,283.6,0.0,7,2022-11-08
48,2022-11-08 08:05:00,054B7020C020041,6410,6250,11.4,15542.0,55.1,2022-11-08,2022,11,45,2,8,8,5,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
49,2022-11-08 08:05:00,054B7020C020041,6458,6270,11.5,15542.0,55.3,2022-11-08,2022,11,45,2,8,8,5,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
50,2022-11-08 08:06:00,054B7020C020041,6458,6270,11.5,15542.0,55.3,2022-11-08,2022,11,45,2,8,8,6,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
51,2022-11-08 08:08:00,054B7020C020041,6379,6230,11.5,15542.0,55.0,2022-11-08,2022,11,45,2,8,8,8,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
52,2022-11-08 08:10:00,054B7020C020041,6531,6350,12.0,15542.0,56.0,2022-11-08,2022,11,45,2,8,8,10,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
53,2022-11-08 08:15:00,054B7020C020041,6616,6450,12.6,15543.0,56.7,2022-11-08,2022,11,45,2,8,8,15,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
54,2022-11-08 08:16:00,054B7020C020041,6616,6450,12.6,15543.0,56.7,2022-11-08,2022,11,45,2,8,8,16,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
55,2022-11-08 08:21:00,054B7020C020041,6707,6510,13.1,15544.0,57.4,2022-11-08,2022,11,45,2,8,8,21,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
56,2022-11-08 08:26:00,054B7020C020041,6783,6580,13.7,15544.0,57.9,2022-11-08,2022,11,45,2,8,8,26,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
57,2022-11-08 08:26:00,054B7020C020041,6763,6570,13.7,15544.0,58.0,2022-11-08,2022,11,45,2,8,8,26,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
58,2022-11-08 08:32:00,054B7020C020041,6777,6600,14.3,15545.0,58.5,2022-11-08,2022,11,45,2,8,8,32,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
59,2022-11-08 08:37:00,054B7020C020041,6868,6690,14.8,15545.0,59.0,2022-11-08,2022,11,45,2,8,8,37,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
60,2022-11-08 08:42:00,054B7020C020041,6966,6760,15.4,15546.0,59.7,2022-11-08,2022,11,45,2,8,8,42,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
61,2022-11-08 08:47:00,054B7020C020041,6955,6760,16.0,15546.0,60.2,2022-11-08,2022,11,45,2,8,8,47,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
62,2022-11-08 08:52:00,054B7020C020041,7140,6900,16.5,15547.0,60.7,2022-11-08,2022,11,45,2,8,8,52,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
63,2022-11-08 08:57:00,054B7020C020041,7207,6990,17.1,15548.0,61.1,2022-11-08,2022,11,45,2,8,8,57,16.0,74.0,11.4,918.1,1.2,1331.6,0.0,8,2022-11-08
64,2022-11-08 09:02:00,054B7020C020041,7208,6990,17.7,15548.0,61.7,2022-11-08,2022,11,45,2,8,9,2,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
65,2022-11-08 09:07:00,054B7020C020041,7207,7000,18.3,15549.0,62.2,2022-11-08,2022,11,45,2,8,9,7,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
66,2022-11-08 09:12:00,054B7020C020041,7185,6960,18.9,15549.0,62.7,2022-11-08,2022,11,45,2,8,9,12,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
67,2022-11-08 09:17:00,054B7020C020041,7273,7040,19.5,15550.0,63.1,2022-11-08,2022,11,45,2,8,9,17,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
68,2022-11-08 09:22:00,054B7020C020041,7364,7130,20.0,15550.0,63.5,2022-11-08,2022,11,45,2,8,9,22,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
69,2022-11-08 09:27:00,054B7020C020041,7099,6900,20.6,15551.0,64.1,2022-11-08,2022,11,45,2,8,9,27,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
70,2022-11-08 09:32:00,054B7020C020041,7593,7380,21.2,15552.0,64.1,2022-11-08,2022,11,45,2,8,9,32,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
71,2022-11-08 09:37:00,054B7020C020041,7491,7260,21.8,15552.0,64.5,2022-11-08,2022,11,45,2,8,9,37,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
72,2022-11-08 09:42:00,054B7020C020041,7587,7340,22.4,15553.0,65.1,2022-11-08,2022,11,45,2,8,9,42,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
73,2022-11-08 09:47:00,054B7020C020041,7608,7380,23.1,15554.0,65.8,2022-11-08,2022,11,45,2,8,9,47,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
74,2022-11-08 09:52:00,054B7020C020041,7592,7330,23.7,15554.0,66.2,2022-11-08,2022,11,45,2,8,9,52,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
75,2022-11-08 09:57:00,054B7020C020041,7575,7330,24.3,15555.0,66.5,2022-11-08,2022,11,45,2,8,9,57,17.9,64.0,10.9,918.2,1.0,2556.8,0.0,9,2022-11-08
76,2022-11-08 10:02:00,054B7020C020041,7594,7370,24.9,15555.0,66.8,2022-11-08,2022,11,45,2,8,10,2,20.6,60.0,12.6,917.8,0.4,3183.7,0.0,10,2022-11-08
77,2022-11-08 10:07:00,054B7020C020041,7572,7340,25.5,15556.0,67.0,2022-11-08,2022,11,45,2,8,10,7,20.6,60.0,12.6,917.8,0.4,3183.7,0.0,10,2022-11-08
