Time,InverterSN,Data LoggerSN,Alert Details,Alert Code,DC Voltage PV1(V),DC Voltage PV2(V),DC Voltage PV3(V),DC Voltage PV4(V),DC Current1(A),DC Current2(A),DC Current3(A),DC Current4(A),Total DC Input Power(W),AC Voltage R/U/A(V),AC Voltage S/V/B(V),AC Voltage T/W/C(V),AC Current R/U/A(A),AC Current S/V/B(A),AC Current T/W/C(A),AC Power R/U/A(W),AC Power S/V/B(W),AC Output Total Power (Active)(W),AC Output Frequency R(Hz),Generation of Last Month (Active)(kWh),Daily Generation (Active)(kWh),Total Generation (Active)(kWh),Power Grid Total Apparent Power(VA),Grid Power Factor,Inverter Temperature(℃),Inverter Status,Generation Yesterday(kWh),System Time
2022/11/07 11:06,054B7020C020041,4045966636,,,334.70,302.20,297.50,9.00,10.20,10.20,10.20,0.10,9531,0,0,224.70,0,0,40.30,0,0,9190,60.04,1269,28.50,15508.00,9210,1.00,57.90,1022,44.40,22-11-7 11:5:48
2022/11/07 11:11,054B7020C020041,4045966636,,,296.30,270.40,283.50,9.30,8.60,8.40,7.90,0.10,7060,0,0,224.10,0,0,30.10,0,0,6780,59.98,1269,29.30,15509.00,8240,1.00,61.30,1022,44.40,22-11-7 11:10:50
2022/11/07 11:16,054B7020C020041,4045966636,,,316.60,287.20,280.70,13.70,3.80,3.90,3.80,0.10,3391,0,0,223.30,0,0,14.90,0,0,3320,59.98,1269,29.70,15509.00,3320,1.00,58.70,1022,44.40,22-11-7 11:15:54
2022/11/07 11:21,054B7020C020041,4045966636,,,323.70,297.30,293.90,9.70,10.20,10.20,10.20,0.10,9332,0,0,225.30,0,0,39.50,0,0,9040,60.02,1269,30.30,15510.00,8940,1.00,59.10,1022,44.40,22-11-7 11:20:57
2022/11/07 11:26,054B7020C020041,4045966636,,,320.50,291.10,284.60,9.10,3.70,3.70,3.70,0.10,3316,0,0,223.70,0,0,14.30,0,0,3210,60.06,1269,30.80,15510.00,3210,1.00,56.80,1022,44.40,22-11-7 11:26:0
2022/11/07 11:31,054B7020C020041,4045966636,,,304.50,279.10,284.50,12.30,3.10,3.10,2.90,0.10,2635,0,0,224.10,0,0,11.40,0,0,2540,60.06,1269,31.30,15511.00,2540,1.00,58.40,1022,44.40,22-11-7 11:31:3
2022/11/07 11:36,054B7020C020041,4045966636,,,323.90,294.60,292.10,15.00,5.00,5.20,5.10,0.10,4642,0,0,225.20,0,0,19.90,0,0,4520,60.03,1269,31.50,15511.00,4420,1.00,53.00,1022,44.40,22-11-7 11:36:6
2022/11/07 11:41,054B7020C020041,4045966636,,,332.10,294.80,296.20,10.50,3.80,4.00,3.80,0.10,3567,0,0,224.00,0,0,15.50,0,0,3490,60.00,1269,31.90,15512.00,3490,1.00,52.00,1022,44.40,22-11-7 11:41:8
2022/11/07 11:46,054B7020C020041,4045966636,,,330.60,299.10,294.70,9.40,10.20,10.20,10.20,0.10,9429,0,0,225.80,0,0,39.80,0,0,9130,59.95,1269,32.30,15512.00,9120,1.00,54.80,1022,44.40,22-11-7 11:45:12
2022/11/07 11:51,054B7020C020041,4045966636,,,311.80,274.70,276.10,13.60,9.60,9.90,9.70,0.10,8392,0,0,224.80,0,0,35.70,0,0,8150,59.96,1269,33.10,15513.00,8140,1.00,59.30,1022,44.40,22-11-7 11:50:26
2022/11/07 11:56,054B7020C020041,4045966636,,,290.90,261.90,259.50,13.90,4.90,5.40,5.30,0.10,4216,0,0,223.40,0,0,17.90,0,0,4110,59.95,1269,33.80,15513.00,3740,1.00,61.20,1022,44.40,22-11-7 11:55:33
