Time,InverterSN,Data LoggerSN,Alert Details,Alert Code,DC Voltage PV1(V),DC Voltage PV2(V),DC Voltage PV3(V),DC Voltage PV4(V),DC Current1(A),DC Current2(A),DC Current3(A),DC Current4(A),Total DC Input Power(W),AC Voltage R/U/A(V),AC Voltage S/V/B(V),AC Voltage T/W/C(V),AC Current R/U/A(A),AC Current S/V/B(A),AC Current T/W/C(A),AC Power R/U/A(W),AC Power S/V/B(W),AC Output Total Power (Active)(W),AC Output Frequency R(Hz),Generation of Last Month (Active)(kWh),Daily Generation (Active)(kWh),Total Generation (Active)(kWh),Power Grid Total Apparent Power(VA),Grid Power Factor,Inverter Temperature(℃),Inverter Status,Generation Yesterday(kWh),System Time
2023/03/13 06:08,054B7020C020044,4045086367,,,85.00,88.20,84.80,14.20,0.10,0.10,0.10,0.10,27,0,0,221.00,0,0,2.60,0,0,20,60.01,1173,0.00,22525.00,110,1.00,24.90,1022,35.10,23-3-13 5:11:20
2023/03/13 06:08,054B7020C020044,4045086367,,,85.00,88.20,84.80,14.20,0.10,0.10,0.10,0.10,27,0,0,221.00,0,0,2.60,0,0,20,60.01,1173,0.00,22525.00,110,1.00,24.90,1022,35.10,23-3-13 5:11:20
2023/03/13 06:12,054B7020C020044,4045086367,,,281.20,280.80,281.00,13.20,0.10,0.10,0.10,0.10,85,0,0,220.30,0,0,2.60,0,0,20,59.96,1173,0.00,22525.00,80,1.00,25.40,1022,35.10,23-3-13 6:11:36
2023/03/13 06:17,054B7020C020044,4045086367,,,288.80,287.90,288.20,10.90,0.10,0.10,0.10,0.10,87,0,0,220.40,0,0,2.50,0,0,20,59.96,1173,0.00,22525.00,60,1.00,26.00,1022,35.10,23-3-13 6:16:43
2023/03/13 06:22,054B7020C020044,4045086367,,,302.70,301.90,301.80,10.90,0.10,0.10,0.10,0.10,91,0,0,221.90,0,0,2.60,0,0,20,60.02,1173,0.00,22525.00,0,1.00,26.50,1022,35.10,23-3-13 6:21:48
2023/03/13 06:27,054B7020C020044,4045086367,,,302.70,307.00,307.10,16.70,0.10,0.10,0.10,0.10,93,0,0,222.10,0,0,2.60,0,0,70,60.02,1173,0.00,22525.00,60,1.00,27.00,1022,35.10,23-3-13 6:26:51
2023/03/13 06:32,054B7020C020044,4045086367,,,302.90,312.40,314.50,16.00,0.20,0.20,0.10,0.10,156,0,0,219.30,0,0,2.60,0,0,160,59.94,1173,0.00,22525.00,150,1.00,27.50,1022,35.10,23-3-13 6:31:55
2023/03/13 06:37,054B7020C020044,4045086367,,,340.70,312.10,314.40,16.10,0.30,0.20,0.20,0.10,229,0,0,219.30,0,0,2.80,0,0,200,59.99,1173,0.10,22525.00,210,1.00,28.00,1022,35.10,23-3-13 6:36:58
2023/03/13 06:42,054B7020C020044,4045086367,,,364.70,338.20,344.50,11.90,0.40,0.30,0.30,0.10,351,0,0,219.80,0,0,2.90,0,0,320,59.99,1173,0.10,22525.00,320,1.00,28.50,1022,35.10,23-3-13 6:42:2
2023/03/13 06:47,054B7020C020044,4045086367,,,370.40,360.20,358.40,10.40,0.40,0.40,0.40,0.10,436,0,0,219.90,0,0,3.20,0,0,450,59.96,1173,0.10,22525.00,450,1.00,29.00,1022,35.10,23-3-13 6:47:5
2023/03/13 06:52,054B7020C020044,4045086367,,,352.20,350.00,339.80,11.00,0.40,0.30,0.30,0.10,348,0,0,219.90,0,0,3.00,0,0,380,60.00,1173,0.20,22525.00,370,1.00,29.50,1022,35.10,23-3-13 6:52:9
2023/03/13 06:57,054B7020C020044,4045086367,,,356.30,342.00,344.10,15.20,0.40,0.40,0.30,0.10,384,0,0,219.60,0,0,3.10,0,0,390,60.02,1173,0.20,22525.00,390,1.00,29.90,1022,35.10,23-3-13 6:57:12
2023/03/13 07:02,054B7020C020044,4045086367,,,354.80,348.50,342.60,17.80,0.50,0.50,0.40,0.10,490,0,0,219.40,0,0,3.40,0,0,490,59.94,1173,0.20,22525.00,490,1.00,30.10,1022,35.10,23-3-13 7:2:16
2023/03/13 07:07,054B7020C020044,4045086367,,,362.60,356.10,346.30,11.50,0.70,0.60,0.60,0.10,676,0,0,219.00,0,0,3.80,0,0,630,59.95,1173,0.30,22526.00,630,1.00,30.40,1022,35.10,23-3-13 7:7:19
2023/03/13 07:12,054B7020C020044,4045086367,,,364.60,358.10,352.30,15.40,0.90,0.80,0.80,0.10,898,0,0,219.30,0,0,4.70,0,0,880,59.97,1173,0.30,22526.00,870,1.00,30.70,1022,35.10,23-3-13 7:12:22
2023/03/13 07:17,054B7020C020044,4045086367,,,362.50,356.10,354.30,12.20,0.80,0.70,0.70,0.10,788,0,0,219.40,0,0,4.40,0,0,820,59.99,1173,0.40,22526.00,810,1.00,30.90,1022,35.10,23-3-13 7:16:27
2023/03/13 07:22,054B7020C020044,4045086367,,,372.60,358.10,352.30,17.60,1.00,1.00,1.00,0.10,1084,0,0,219.10,0,0,5.60,0,0,1140,60.02,1173,0.50,22526.00,1140,1.00,31.40,1022,35.10,23-3-13 7:21:43
2023/03/13 07:27,054B7020C020044,4045086367,,,372.50,374.00,376.20,16.30,1.00,0.90,0.90,0.10,1049,0,0,218.90,0,0,5.50,0,0,1100,60.01,1173,0.60,22526.00,1080,1.00,32.00,1022,35.10,23-3-13 7:26:46
2023/03/13 07:32,054B7020C020044,4045086367,,,376.70,350.30,364.50,10.70,1.60,1.60,1.60,0.10,1747,0,0,221.40,0,0,7.70,0,0,1640,60.01,1173,0.70,22526.00,1660,1.00,32.80,1022,35.10,23-3-13 7:31:50
2023/03/13 07:37,054B7020C020044,4045086367,,,372.70,362.20,364.40,11.10,2.50,2.50,2.40,0.10,2712,0,0,221.80,0,0,11.90,0,0,2640,60.01,1173,0.90,22526.00,2650,1.00,33.90,1022,35.10,23-3-13 7:36:54
