Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm),Hora Local,Data Ajustada
08/11/2022,300,13.2,13.4,13.2,89,89,87,11.4,11.5,11.2,917.9,918.4,917.9,1.8,245,6.9,,0,0,08/11/2022
08/11/2022,400,13.1,13.3,13.1,86,89,86,10.9,11.5,10.9,917.3,917.9,917.3,3.1,247,6.1,,0,1,08/11/2022
08/11/2022,500,12.5,13.1,12.5,91,91,86,11.1,11.1,10.8,916.5,917.3,916.5,2.4,257,5.8,,0,2,08/11/2022
08/11/2022,600,12.2,12.5,12.2,92,92,91,11,11.1,10.9,916.1,916.5,916.1,2.8,254,5.8,,0,3,08/11/2022
08/11/2022,700,11.8,12.2,11.7,94,95,92,10.8,11,10.8,916.1,916.2,916,2,246,5.3,,0,4,08/11/2022
08/11/2022,800,11.2,11.8,11.1,100,100,94,11.2,11.2,10.7,916.4,916.4,916.1,1.2,251,5.3,,0,5,08/11/2022
08/11/2022,900,11.1,11.2,10.9,100,100,99,11.1,11.2,10.9,916.9,917,916.3,1,240,3.4,53.5,0,6,08/11/2022
08/11/2022,1000,13.3,13.3,11.2,88,100,88,11.3,11.6,11.1,917.6,917.6,916.9,1.7,231,4.3,283.6,0,7,08/11/2022
08/11/2022,1100,16,16,13.3,74,89,73,11.4,11.9,10.8,918.1,918.1,917.6,1.2,218,4.3,1331.6,0,8,08/11/2022
08/11/2022,1200,17.9,18.2,15.5,64,76,64,10.9,12.3,10.8,918.2,918.3,918.1,1,195,4.9,2556.8,0,9,08/11/2022
08/11/2022,1300,20.6,20.7,17.8,60,65,56,12.6,12.6,10.5,917.8,918.2,917.8,0.4,207,3.4,3183.7,0,10,08/11/2022
08/11/2022,1400,23,23,20.6,40,60,37,8.7,12.5,6.7,917.3,917.8,917.3,1.7,341,3.7,3577.7,0,11,08/11/2022
08/11/2022,1500,23.3,24.4,22.5,33,41,33,6,9,6,916.6,917.3,916.6,1.6,289,5.1,3791.5,0,12,08/11/2022
08/11/2022,1600,24.4,24.7,23.1,38,39,33,9.2,9.2,6.3,915.6,916.6,915.6,3,77,6.4,3568.2,0,13,08/11/2022
08/11/2022,1700,25.7,26.2,24,33,41,32,8.3,10.4,7.9,914.3,915.6,914.3,3.5,357,7.5,3570.8,0,14,08/11/2022
08/11/2022,1800,26.7,26.7,24.7,30,39,29,7.6,10.5,6.2,913.5,914.3,913.5,3.1,349,7,2932,0,15,08/11/2022
