Inverter History Report_,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inverter SN:054B7020C020044,,,,Inverter type:B7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Collector SN:4045086367,,,,Belongs to plant:IFSP - CAMPINAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Power:10000Wp,,,,Report generation time:20231228213933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owner's cell phone number:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number,Time,Working State,Alarm Code,DC Voltage PvPV1(V),DC Current PvPV1(A),DC Power PvPV1(W),DC Voltage PvPV2(V),DC Current PvPV2(A),DC Power PvPV2(W),DC Voltage PvPV3(V),DC Current PvPV3(A),DC Power PvPV3(W),DC Voltage PvPV4(V),DC Current PvPV4(A),DC Power PvPV4(W),AC Voltage U(V),AC Voltage V(V),AC Voltage W(V),AC Current U(A),AC Current V(A),AC Current W(A),Total Inverter Power(W),AC Frequency(Hz),Today Yield(kWh),Month Yield(kWh),Annual Yield(kWh),Total Yield(kWh),IGBT  Temperature(℃),Inverter Ambient Temperature(℃),Dispersion Rate,Initialize the grounding voltage(V),DC bus voltage(V),Dc bus half voltage(V),Insulation Resistance Realtime Value
1,22/11/2023 04:23:05 (UTC-4:00),Normal, ,119.4,0.1,12,121.4,0.1,12,123.0,0.1,12,2.2,0.1,0,219.7,0.0,0.0,0.0,0.0,0.0,20.000,60.020,0.000,1047.000,12033.000,31510.000,28.1, ,0.00,0.000,0.000,0.000,0
2,22/11/2023 04:28:04 (UTC-4:00),Normal, ,285.1,0.1,29,284.6,0.1,28,284.5,0.1,28,14.6,0.1,0,219.0,0.0,0.0,2.6,0.0,0.0,20.000,59.960,0.000,1047.000,12033.000,31510.000,28.8, ,0.00,0.000,0.000,0.000,0
3,22/11/2023 04:33:03 (UTC-4:00),Normal, ,291.9,0.1,29,291.4,0.1,29,291.2,0.1,29,13.3,0.1,0,219.3,0.0,0.0,2.6,0.0,0.0,20.000,59.980,0.000,1047.000,12033.000,31510.000,29.4, ,0.00,0.000,0.000,0.000,0
4,22/11/2023 04:38:05 (UTC-4:00),Normal, ,297.6,0.1,30,301.7,0.1,30,301.7,0.1,30,14.3,0.1,0,219.8,0.0,0.0,2.6,0.0,0.0,50.000,59.980,0.000,1047.000,12033.000,31510.000,30.0, ,0.00,0.000,0.000,0.000,0
5,22/11/2023 04:43:09 (UTC-4:00),Normal, ,297.7,0.2,60,305.8,0.1,31,315.3,0.1,32,15.9,0.1,0,219.4,0.0,0.0,2.6,0.0,0.0,110.000,59.980,0.000,1047.000,12033.000,31510.000,30.4, ,0.00,0.000,0.000,0.000,0
6,22/11/2023 04:48:09 (UTC-4:00),Normal, ,331.8,0.2,66,305.7,0.2,61,308.3,0.1,31,14.5,0.1,0,219.5,0.0,0.0,2.7,0.0,0.0,180.000,59.990,0.000,1047.000,12033.000,31510.000,30.8, ,0.00,0.000,0.000,0.000,0
7,22/11/2023 04:53:12 (UTC-4:00),Normal, ,331.5,0.3,99,311.5,0.2,62,308.2,0.2,62,13.5,0.1,0,219.8,0.0,0.0,2.8,0.0,0.0,230.000,60.030,0.100,1047.000,12033.000,31510.000,31.2, ,0.00,0.000,0.000,0.000,0
8,22/11/2023 04:58:15 (UTC-4:00),Normal, ,337.5,0.3,101,321.4,0.2,64,320.2,0.2,64,12.3,0.1,0,219.0,0.0,0.0,2.8,0.0,0.0,250.000,60.020,0.100,1047.000,12033.000,31510.000,31.6, ,0.00,0.000,0.000,0.000,0
9,22/11/2023 05:03:18 (UTC-4:00),Normal, ,339.5,0.4,136,335.4,0.3,101,342.1,0.3,103,12.8,0.1,0,219.0,0.0,0.0,2.9,0.0,0.0,340.000,59.990,0.100,1047.000,12033.000,31510.000,31.9, ,0.00,0.000,0.000,0.000,0
10,22/11/2023 05:08:24 (UTC-4:00),Normal, ,345.1,0.4,138,337.4,0.3,101,340.1,0.3,102,12.7,0.1,0,218.9,0.0,0.0,3.1,0.0,0.0,390.000,59.950,0.100,1047.000,12033.000,31510.000,32.3, ,0.00,0.000,0.000,0.000,0
