YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,ALLSKY_SRF_ALB,SZA,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_UV_INDEX,CLRSKY_SFC_SW_DWN,ALLSKY_KT
2022,12,21,0,0.0,-999.0,90.0,0.0,0.0,0.0,17.49,16.47,16.98,12.66,93.6,0.43,92.65,5.32,143.3,7.46,142.5,0.0,0.0,-999.0
2022,12,21,1,0.0,-999.0,90.0,0.0,0.0,0.0,17.26,16.33,16.8,12.55,94.14,0.48,92.64,5.15,144.9,7.33,144.3,0.0,0.0,-999.0
2022,12,21,2,0.0,-999.0,90.0,0.0,0.0,0.0,17.02,16.17,16.6,12.43,94.61,0.5,92.59,4.88,149.4,7.05,148.8,0.0,0.0,-999.0
2022,12,21,3,0.0,-999.0,90.0,0.0,0.0,0.0,16.81,16.03,16.42,12.32,94.97,0.57,92.52,4.47,152.6,6.68,152.1,0.0,0.0,-999.0
2022,12,21,4,0.0,-999.0,90.0,0.0,0.0,0.0,16.63,15.91,16.27,12.23,95.33,0.51,92.49,4.03,153.5,6.32,152.8,0.0,0.0,-999.0
2022,12,21,5,0.0,-999.0,90.0,0.0,0.0,0.0,16.42,15.82,16.12,12.16,96.07,0.54,92.49,3.53,154.8,5.8,154.7,0.0,0.0,-999.0
2022,12,21,6,0.0,-999.0,90.0,0.0,0.0,0.0,16.28,15.75,16.02,12.1,96.48,0.59,92.51,3.53,156.8,5.9,156.6,0.0,0.0,-999.0
2022,12,21,7,0.0,-999.0,90.0,0.0,0.0,0.0,16.21,15.67,15.94,12.04,96.48,0.64,92.56,3.85,155.0,6.29,154.7,0.0,0.0,-999.0
2022,12,21,8,13.8,0.16,88.05,5.88,0.74,0.0,16.26,15.65,15.96,12.02,96.07,0.68,92.61,4.28,152.4,6.55,152.1,0.03,14.1,0.29
2022,12,21,9,142.18,0.16,76.52,78.82,7.53,0.06,17.35,15.99,16.67,12.27,91.54,0.72,92.66,5.0,149.5,6.6,149.4,0.3,177.57,0.43
2022,12,21,10,306.85,0.13,63.38,188.79,18.23,0.34,19.17,16.07,17.62,12.33,82.08,0.86,92.69,6.15,146.7,7.93,146.2,1.67,414.67,0.49
2022,12,21,11,457.35,0.14,49.99,294.7,28.83,0.79,21.5,16.08,18.79,12.34,71.14,1.09,92.69,6.44,144.9,7.96,144.0,4.15,645.67,0.51
2022,12,21,12,421.25,0.15,36.46,380.97,28.98,1.0,23.47,16.13,19.8,12.39,63.35,1.0,92.67,6.31,145.7,7.63,144.5,5.32,838.03,0.37
2022,12,21,13,524.2,0.15,22.9,445.35,35.98,1.41,25.0,16.29,20.64,12.52,58.37,1.52,92.63,6.33,148.4,7.56,146.8,7.18,980.28,0.4
2022,12,21,14,600.03,0.15,9.67,479.67,40.33,1.66,26.21,16.4,21.31,12.61,54.69,2.11,92.58,6.54,152.1,7.74,150.4,9.15,1056.93,0.43
2022,12,21,15,653.62,0.15,6.49,495.17,44.17,1.83,26.87,16.27,21.57,12.52,52.2,2.33,92.53,6.96,155.0,8.18,153.3,10.25,1084.53,0.47
2022,12,21,16,799.12,0.16,19.25,467.86,52.31,2.06,26.84,15.97,21.4,12.28,51.29,2.57,92.51,7.45,156.0,8.79,154.7,11.12,1022.5,0.6
2022,12,21,17,680.0,0.15,32.79,410.07,43.92,1.56,26.3,15.55,20.92,11.95,51.53,2.24,92.51,7.83,155.2,9.31,154.3,8.07,893.35,0.57
2022,12,21,18,544.15,0.15,46.34,327.6,34.38,1.0,25.35,15.13,20.24,11.62,53.04,1.9,92.54,8.1,153.2,9.8,152.6,5.32,710.42,0.56
2022,12,21,19,344.77,0.15,59.77,225.33,21.25,0.44,23.8,14.94,19.37,11.48,57.52,1.33,92.58,8.14,150.4,10.14,150.2,2.2,487.92,0.49
2022,12,21,20,162.32,0.16,72.99,113.44,8.77,0.09,22.13,14.96,18.55,11.48,63.69,1.04,92.65,7.93,147.8,10.15,147.7,0.47,248.45,0.39
2022,12,21,21,34.95,0.16,85.68,17.58,1.77,0.01,19.95,15.33,17.64,11.75,74.58,1.14,92.73,6.95,146.6,9.22,146.6,0.03,41.45,0.33
2022,12,21,22,0.0,-999.0,90.0,0.0,0.0,0.0,18.26,15.81,17.04,12.11,85.45,1.16,92.79,6.11,146.9,8.53,146.7,0.0,0.0,-999.0
2022,12,21,23,0.0,-999.0,90.0,0.0,0.0,0.0,17.46,15.98,16.72,12.24,90.85,1.06,92.82,6.06,146.0,8.51,145.6,0.0,0.0,-999.0
2022,12,22,0,0.0,-999.0,90.0,0.0,0.0,0.0,17.15,16.0,16.58,12.26,92.82,0.9,92.85,6.02,144.7,8.5,144.3,0.0,0.0,-999.0
2022,12,22,1,0.0,-999.0,90.0,0.0,0.0,0.0,17.03,15.99,16.51,12.25,93.45,0.88,92.84,5.88,142.9,8.42,142.3,0.0,0.0,-999.0
2022,12,22,2,0.0,-999.0,90.0,0.0,0.0,0.0,16.94,15.92,16.43,12.2,93.56,0.85,92.79,5.68,141.2,8.29,140.6,0.0,0.0,-999.0
2022,12,22,3,0.0,-999.0,90.0,0.0,0.0,0.0,16.72,15.75,16.23,12.08,93.88,0.73,92.73,5.61,140.6,8.23,140.0,0.0,0.0,-999.0
2022,12,22,4,0.0,-999.0,90.0,0.0,0.0,0.0,16.47,15.52,15.99,11.9,93.92,0.65,92.67,5.44,139.0,7.99,138.3,0.0,0.0,-999.0
2022,12,22,5,0.0,-999.0,90.0,0.0,0.0,0.0,16.23,15.35,15.79,11.78,94.36,0.69,92.63,5.1,137.7,7.58,137.3,0.0,0.0,-999.0
2022,12,22,6,0.0,-999.0,90.0,0.0,0.0,0.0,16.07,15.29,15.68,11.74,94.99,0.63,92.61,4.64,137.5,7.08,137.0,0.0,0.0,-999.0
2022,12,22,7,0.0,-999.0,90.0,0.0,0.0,0.0,15.95,15.3,15.62,11.74,95.75,0.6,92.63,4.28,137.4,6.83,136.8,0.0,0.0,-999.0
2022,12,22,8,14.38,0.17,88.11,6.05,0.74,0.0,16.02,15.35,15.68,11.77,95.63,0.59,92.7,4.2,138.0,6.58,137.6,0.03,14.8,0.31
2022,12,22,9,146.43,0.16,76.62,83.55,7.7,0.06,17.26,15.65,16.46,11.99,90.09,0.66,92.77,5.31,137.4,7.25,136.3,0.3,185.7,0.45
2022,12,22,10,324.52,0.15,63.49,194.88,19.18,0.35,19.13,15.49,17.31,11.87,79.35,0.93,92.82,6.69,130.0,8.63,128.6,1.75,424.55,0.52
2022,12,22,11,519.6,0.15,50.1,300.83,32.12,0.86,21.3,15.45,18.38,11.83,69.18,1.27,92.85,6.58,125.4,8.17,123.6,4.45,655.12,0.58
2022,12,22,12,654.53,0.15,36.58,388.9,41.83,1.41,23.39,15.52,19.46,11.88,61.18,0.59,92.85,6.08,123.0,7.37,120.7,7.53,849.95,0.58
2022,12,22,13,767.58,0.16,23.01,452.76,49.96,1.91,25.05,15.71,20.38,12.03,56.05,0.69,92.81,5.65,124.0,6.72,121.1,10.02,991.7,0.59
2022,12,22,14,849.85,0.16,9.78,486.94,55.28,2.24,26.23,15.89,21.06,12.19,52.92,0.78,92.75,5.38,127.6,6.31,124.1,12.62,1068.32,0.61
2022,12,22,15,849.3,0.17,6.4,498.3,56.2,2.31,27.02,15.94,21.48,12.23,50.64,0.83,92.68,5.34,133.3,6.16,129.9,13.07,1089.22,0.61
2022,12,22,16,713.38,0.16,19.14,469.95,47.12,1.86,27.24,15.85,21.54,12.17,49.72,0.89,92.63,5.84,138.3,6.73,135.9,10.12,1026.05,0.54
2022,12,22,17,713.75,0.15,32.67,411.95,45.96,1.62,26.48,15.83,21.15,12.16,51.93,0.89,92.61,6.85,141.1,8.09,139.7,8.48,897.05,0.6
2022,12,22,18,524.6,0.15,46.23,328.19,33.28,0.97,24.86,15.9,20.38,12.21,57.41,0.81,92.62,7.92,142.0,9.64,141.2,5.15,712.45,0.54
2022,12,22,19,336.3,0.15,59.66,225.5,20.52,0.43,23.05,15.7,19.38,12.04,63.15,0.65,92.67,8.47,140.7,10.58,140.1,2.12,488.92,0.47
2022,12,22,20,171.93,0.16,72.88,115.3,9.35,0.1,21.4,15.38,18.39,11.8,68.49,0.5,92.72,8.27,137.3,10.58,137.0,0.5,251.77,0.42
2022,12,22,21,38.05,0.17,85.59,18.35,1.86,0.01,19.63,15.42,17.52,11.82,76.57,0.34,92.78,7.23,134.2,9.53,133.8,0.03,43.12,0.35
2022,12,22,22,0.0,-999.0,90.0,0.0,0.0,0.0,18.15,15.7,16.93,12.03,85.51,0.29,92.83,6.06,135.2,8.27,134.5,0.0,0.0,-999.0
2022,12,22,23,0.0,-999.0,90.0,0.0,0.0,0.0,17.34,15.76,16.55,12.07,90.34,0.27,92.88,5.8,136.0,7.94,134.9,0.0,0.0,-999.0
2022,12,23,0,0.0,-999.0,90.0,0.0,0.0,0.0,16.93,15.67,16.3,11.99,92.16,0.24,92.93,5.7,135.0,7.84,133.9,0.0,0.0,-999.0
2022,12,23,1,0.0,-999.0,90.0,0.0,0.0,0.0,16.85,15.54,16.19,11.88,91.8,0.2,92.95,5.75,133.0,7.81,131.6,0.0,0.0,-999.0
2022,12,23,2,0.0,-999.0,90.0,0.0,0.0,0.0,16.79,15.38,16.08,11.77,91.27,0.15,92.91,5.73,131.0,7.79,129.4,0.0,0.0,-999.0
