YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M
2022,12,20,21,17.49,16.48,16.98,12.63,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,93.56,0.02,92.65,5.31,143.25,7.46,142.53
2022,12,20,22,17.26,16.33,16.8,12.57,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.12,0.02,92.64,5.14,144.96,7.33,144.33
2022,12,20,23,17.02,16.18,16.6,12.45,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,94.62,0.02,92.59,4.88,149.49,7.05,148.83
2022,12,21,0,16.81,16.03,16.42,12.33,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.0,0.02,92.52,4.47,152.63,6.68,152.12
2022,12,21,1,16.63,15.91,16.27,12.21,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,95.38,0.02,92.49,4.04,153.48,6.32,152.77
2022,12,21,2,16.42,15.82,16.12,12.15,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.06,0.02,92.49,3.52,154.8,5.8,154.71
2022,12,21,3,16.28,15.75,16.01,12.08,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.5,0.02,92.51,3.53,156.78,5.9,156.69
2022,12,21,4,16.21,15.67,15.94,12.02,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,0.0,0.0,96.5,0.03,92.56,3.86,154.94,6.3,154.74
2022,12,21,5,16.26,15.65,15.96,12.02,17.23,14.1,0.36,0.12,88.05,5.83,5.88,0.73,0.0,0.02,96.06,0.03,92.61,4.28,152.36,6.55,152.12
2022,12,21,6,17.35,15.99,16.67,12.27,147.77,177.58,0.45,0.16,76.52,64.45,78.83,7.53,0.06,0.3,91.56,0.03,92.66,5.0,149.51,6.6,149.4
2022,12,21,7,19.17,16.07,17.62,12.33,312.95,414.67,0.5,0.13,63.38,143.05,188.8,18.23,0.34,1.67,82.06,0.04,92.69,6.16,146.75,7.92,146.22
2022,12,21,8,21.5,16.08,18.79,12.33,463.24,645.67,0.52,0.13,49.99,213.02,294.7,28.83,0.79,4.15,71.12,0.05,92.69,6.44,144.83,7.95,144.03
2022,12,21,9,23.47,16.13,19.8,12.39,420.86,838.02,0.38,0.15,36.46,199.5,380.98,28.98,1.0,5.33,63.31,0.04,92.67,6.31,145.64,7.63,144.46
2022,12,21,10,25.01,16.29,20.65,12.51,517.32,980.27,0.4,0.15,22.9,249.75,445.35,35.98,1.41,7.17,58.31,0.06,92.63,6.33,148.27,7.57,146.75
2022,12,21,11,26.21,16.4,21.3,12.63,576.62,1056.92,0.41,0.16,9.67,282.4,479.67,40.33,1.66,9.15,54.69,0.09,92.58,6.54,152.15,7.74,150.43
2022,12,21,12,26.87,16.27,21.57,12.51,630.68,1084.52,0.45,0.16,6.49,306.67,495.17,44.16,1.84,10.25,52.19,0.1,92.53,6.96,155.05,8.18,153.34
2022,12,21,13,26.83,15.98,21.4,12.27,788.03,1022.5,0.59,0.16,19.25,373.5,467.85,52.31,2.06,11.12,51.31,0.11,92.51,7.46,156.01,8.8,154.71
2022,12,21,14,26.3,15.55,20.93,11.96,677.09,893.35,0.57,0.16,32.79,317.02,410.08,43.92,1.55,8.08,51.5,0.09,92.51,7.83,155.17,9.31,154.29
2022,12,21,15,25.35,15.13,20.24,11.6,545.65,710.42,0.56,0.15,46.34,254.88,327.6,34.38,1.0,5.33,53.06,0.08,92.54,8.1,153.16,9.8,152.62
