-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M        MERRA-2 Temperature at 2 Meters (C) 
T2MDEW     MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET     MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
QV2M       MERRA-2 Specific Humidity at 2 Meters (g/kg) 
-END HEADER-
YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M
2022,12,20,21,17.49,16.48,16.98,12.63
2022,12,20,22,17.26,16.33,16.8,12.57
2022,12,20,23,17.02,16.18,16.6,12.45
2022,12,21,0,16.81,16.03,16.42,12.33
2022,12,21,1,16.63,15.91,16.27,12.21
2022,12,21,2,16.42,15.82,16.12,12.15
2022,12,21,3,16.28,15.75,16.01,12.08
2022,12,21,4,16.21,15.67,15.94,12.02
2022,12,21,5,16.26,15.65,15.96,12.02
2022,12,21,6,17.35,15.99,16.67,12.27
2022,12,21,7,19.17,16.07,17.62,12.33
2022,12,21,8,21.5,16.08,18.79,12.33
2022,12,21,9,23.47,16.13,19.8,12.39
2022,12,21,10,25.01,16.29,20.65,12.51
2022,12,21,11,26.21,16.4,21.3,12.63
2022,12,21,12,26.87,16.27,21.57,12.51
2022,12,21,13,26.83,15.98,21.4,12.27
2022,12,21,14,26.3,15.55,20.93,11.96
2022,12,21,15,25.35,15.13,20.24,11.6
2022,12,21,16,23.8,14.94,19.37,11.47
2022,12,21,17,22.13,14.96,18.55,11.47
2022,12,21,18,19.95,15.33,17.64,11.78
2022,12,21,19,18.26,15.81,17.04,12.08
2022,12,21,20,17.46,15.98,16.72,12.27
2022,12,21,21,17.15,16.01,16.58,12.27
2022,12,21,22,17.03,15.99,16.51,12.27
2022,12,21,23,16.94,15.92,16.43,12.21
2022,12,22,0,16.73,15.75,16.24,12.08
2022,12,22,1,16.47,15.52,15.99,11.9
2022,12,22,2,16.23,15.36,15.8,11.78
2022,12,22,3,16.07,15.3,15.69,11.72
2022,12,22,4,15.95,15.3,15.62,11.72
2022,12,22,5,16.02,15.35,15.69,11.78
2022,12,22,6,17.26,15.65,16.45,11.96
2022,12,22,7,19.13,15.49,17.31,11.84
2022,12,22,8,21.3,15.45,18.37,11.84
2022,12,22,9,23.39,15.51,19.45,11.9
2022,12,22,10,25.05,15.71,20.37,12.02
2022,12,22,11,26.23,15.89,21.06,12.21
2022,12,22,12,27.02,15.94,21.48,12.21
2022,12,22,13,27.24,15.85,21.55,12.15
2022,12,22,14,26.48,15.83,21.15,12.15
2022,12,22,15,24.86,15.9,20.38,12.21
2022,12,22,16,23.05,15.7,19.37,12.02
2022,12,22,17,21.4,15.38,18.39,11.78
2022,12,22,18,19.63,15.42,17.53,11.84
2022,12,22,19,18.15,15.7,16.93,12.02
2022,12,22,20,17.34,15.76,16.55,12.08
2022,12,22,21,16.93,15.67,16.3,11.96
2022,12,22,22,16.84,15.54,16.19,11.9
2022,12,22,23,16.79,15.38,16.08,11.78
2022,12,23,0,16.65,15.22,15.94,11.66
2022,12,23,1,16.49,15.08,15.79,11.54
2022,12,23,2,16.37,14.98,15.67,11.47
2022,12,23,3,16.28,14.88,15.58,11.41
2022,12,23,4,16.18,14.8,15.49,11.35
2022,12,23,5,16.15,14.73,15.44,11.29
2022,12,23,6,16.79,14.57,15.68,11.17
2022,12,23,7,18.26,14.23,16.25,10.93
2022,12,23,8,20.44,14.28,17.37,10.93
2022,12,23,9,23.65,14.91,19.29,11.41
2022,12,23,10,26.49,15.8,21.14,12.08
2022,12,23,11,28.01,16.07,22.04,12.33
2022,12,23,12,28.69,16.11,22.4,12.33
2022,12,23,13,28.57,15.98,22.27,12.27
2022,12,23,14,28.14,16.01,22.08,12.27
2022,12,23,15,27.22,16.22,21.72,12.45
2022,12,23,16,25.63,16.79,21.21,12.94
2022,12,23,17,23.61,17.59,20.6,13.61
2022,12,23,18,21.24,18.01,19.62,13.98
2022,12,23,19,19.4,17.79,18.59,13.73
2022,12,23,20,18.29,17.05,17.67,13.12
2022,12,23,21,17.73,16.54,17.13,12.7
2022,12,23,22,17.35,16.25,16.8,12.45
