-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
CLRSKY_SFC_SW_DWN     CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SRF_ALB        CERES SYN1deg All Sky Surface Albedo (dimensionless) 
SZA                   CERES SYN1deg Solar Zenith Angle (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SRF_ALB,SZA
2022,12,20,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,20,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,20,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,5,17.23,14.1,0.36,0.12,88.05
2022,12,21,6,147.77,177.58,0.45,0.16,76.52
2022,12,21,7,312.95,414.67,0.5,0.13,63.38
2022,12,21,8,463.24,645.67,0.52,0.13,49.99
2022,12,21,9,420.86,838.02,0.38,0.15,36.46
2022,12,21,10,517.32,980.27,0.4,0.15,22.9
2022,12,21,11,576.62,1056.92,0.41,0.16,9.67
2022,12,21,12,630.68,1084.52,0.45,0.16,6.49
2022,12,21,13,788.03,1022.5,0.59,0.16,19.25
2022,12,21,14,677.09,893.35,0.57,0.16,32.79
2022,12,21,15,545.65,710.42,0.56,0.15,46.34
2022,12,21,16,351.66,487.92,0.5,0.15,59.77
2022,12,21,17,168.8,248.45,0.41,0.16,72.99
2022,12,21,18,38.85,41.45,0.37,0.15,85.68
2022,12,21,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,21,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,5,17.73,14.8,0.38,0.13,88.11
2022,12,22,6,151.95,185.7,0.47,0.16,76.62
2022,12,22,7,330.51,424.55,0.52,0.15,63.48
2022,12,22,8,525.09,655.12,0.58,0.15,50.1
2022,12,22,9,653.84,849.95,0.58,0.15,36.58
2022,12,22,10,757.93,991.7,0.59,0.16,23.01
2022,12,22,11,816.57,1068.33,0.59,0.16,9.78
2022,12,22,12,819.55,1089.23,0.59,0.17,6.4
2022,12,22,13,703.51,1026.05,0.53,0.16,19.13
2022,12,22,14,710.87,897.05,0.6,0.16,32.67
2022,12,22,15,526.26,712.45,0.54,0.15,46.23
2022,12,22,16,343.07,488.92,0.48,0.15,59.66
2022,12,22,17,178.77,251.77,0.43,0.16,72.88
2022,12,22,18,41.94,43.12,0.39,0.16,85.59
2022,12,22,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,22,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,5,17.33,14.15,0.38,0.13,88.16
2022,12,23,6,185.38,184.17,0.57,0.16,76.73
2022,12,23,7,422.11,423.05,0.67,0.16,63.6
2022,12,23,8,647.22,653.2,0.72,0.15,50.22
2022,12,23,9,842.17,848.2,0.75,0.15,36.69
2022,12,23,10,965.06,987.15,0.74,0.16,23.12
2022,12,23,11,971.5,1066.73,0.7,0.16,9.88
2022,12,23,12,900.67,1082.25,0.64,0.17,6.31
2022,12,23,13,815.46,1021.12,0.61,0.16,19.02
2022,12,23,14,593.82,895.3,0.5,0.16,32.56
2022,12,23,15,423.84,712.27,0.44,0.15,46.12
2022,12,23,16,280.88,490.38,0.39,0.15,59.55
2022,12,23,17,125.98,251.7,0.3,0.15,72.77
2022,12,23,18,25.49,43.83,0.23,0.12,85.51
2022,12,23,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,23,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,5,15.7,12.55,0.36,0.13,88.23
2022,12,24,6,174.48,172.52,0.55,0.16,76.84
2022,12,24,7,413.75,408.92,0.66,0.16,63.71
2022,12,24,8,646.32,642.55,0.72,0.16,50.34
2022,12,24,9,837.48,840.4,0.74,0.16,36.8
2022,12,24,10,976.47,988.23,0.76,0.16,23.23
2022,12,24,11,1018.55,1070.85,0.73,0.16,9.98
2022,12,24,12,959.21,1086.73,0.69,0.16,6.23
2022,12,24,13,911.12,1026.15,0.69,0.16,18.91
2022,12,24,14,542.05,899.4,0.45,0.15,32.45
2022,12,24,15,469.18,719.27,0.48,0.15,46.01
2022,12,24,16,312.53,497.15,0.44,0.15,59.45
2022,12,24,17,123.84,256.0,0.3,0.14,72.67
2022,12,24,18,26.18,44.42,0.23,0.12,85.42
2022,12,24,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,24,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,5,15.02,12.3,0.36,0.12,88.28
2022,12,25,6,154.15,170.23,0.48,0.16,76.96
2022,12,25,7,387.92,401.83,0.62,0.13,63.83
2022,12,25,8,612.51,634.23,0.68,0.14,50.45
2022,12,25,9,822.12,832.0,0.73,0.15,36.92
2022,12,25,10,967.09,979.88,0.75,0.16,23.35
2022,12,25,11,979.58,1061.38,0.71,0.17,10.09
2022,12,25,12,899.21,1068.15,0.64,0.17,6.13
2022,12,25,13,804.88,1007.77,0.6,0.16,18.8
2022,12,25,14,612.73,881.52,0.52,0.16,32.34
2022,12,25,15,561.45,698.67,0.57,0.15,45.9
2022,12,25,16,347.37,475.45,0.48,0.16,59.34
2022,12,25,17,168.26,237.67,0.4,0.15,72.58
2022,12,25,18,29.09,39.45,0.26,0.13,85.34
2022,12,25,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,25,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,5,8.84,10.2,0.22,0.1,88.34
2022,12,26,6,55.4,145.7,0.18,0.13,77.08
2022,12,26,7,173.05,371.4,0.28,0.14,63.95
2022,12,26,8,344.52,600.88,0.38,0.15,50.56
2022,12,26,9,492.15,800.3,0.44,0.16,37.03
2022,12,26,10,594.63,945.42,0.46,0.16,23.46
2022,12,26,11,566.6,1026.9,0.41,0.16,10.19
2022,12,26,12,546.25,1037.02,0.39,0.16,6.05
2022,12,26,13,462.86,976.3,0.34,0.15,18.7
2022,12,26,14,342.13,848.9,0.29,0.15,32.23
2022,12,26,15,250.3,668.42,0.26,0.15,45.8
2022,12,26,16,147.55,446.8,0.2,0.14,59.24
2022,12,26,17,69.12,215.73,0.16,0.12,72.48
2022,12,26,18,20.43,35.75,0.17,0.12,85.27
2022,12,26,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,26,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,5,13.63,10.73,0.35,0.13,88.41
2022,12,27,6,117.41,162.88,0.38,0.16,77.2
2022,12,27,7,233.23,398.3,0.38,0.13,64.06
2022,12,27,8,365.29,627.42,0.41,0.14,50.68
2022,12,27,9,504.07,822.0,0.45,0.16,37.15
2022,12,27,10,663.29,968.15,0.52,0.16,23.58
2022,12,27,11,770.72,1051.4,0.55,0.17,10.29
2022,12,27,12,763.31,1063.62,0.55,0.17,5.96
2022,12,27,13,644.86,1004.08,0.48,0.16,18.59
2022,12,27,14,609.61,878.27,0.51,0.16,32.12
2022,12,27,15,462.14,698.62,0.47,0.15,45.69
2022,12,27,16,304.81,479.1,0.42,0.13,59.14
2022,12,27,17,147.15,243.6,0.34,0.12,72.38
2022,12,27,18,36.27,42.95,0.3,0.14,85.19
2022,12,27,19,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,20,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,21,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,22,0.0,0.0,-999.0,-999.0,-999.0
2022,12,27,23,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,0,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,1,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,2,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,3,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,4,0.0,0.0,-999.0,-999.0,-999.0
2022,12,28,5,7.9,10.1,0.21,0.09,88.47
2022,12,28,6,29.85,147.7,0.09,0.12,77.32
2022,12,28,7,103.35,371.02,0.17,0.12,64.19
2022,12,28,8,179.59,601.25,0.2,0.13,50.8
2022,12,28,9,380.6,803.75,0.34,0.15,37.27
2022,12,28,10,415.09,953.05,0.32,0.15,23.69
2022,12,28,11,485.29,1039.5,0.35,0.16,10.39
2022,12,28,12,364.01,1055.45,0.26,0.15,5.88
2022,12,28,13,253.98,1000.3,0.19,0.14,18.48
2022,12,28,14,234.57,878.98,0.2,0.14,32.02
2022,12,28,15,147.17,699.92,0.15,0.14,45.59
