-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Hourly Data 
Dates (month/day/year): 12/21/2022 through 12/21/2023 
Location: Latitude  -22.9478   Longitude -47.1487 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 755.36 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/hour) 
PS              MERRA-2 Surface Pressure (kPa) 
WS10M           MERRA-2 Wind Speed at 10 Meters (m/s) 
WD10M           MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,RH2M,PRECTOTCORR,PS,WS10M,WD10M
2022,12,20,21,93.56,0.02,92.65,5.31,143.25
2022,12,20,22,94.12,0.02,92.64,5.14,144.96
2022,12,20,23,94.62,0.02,92.59,4.88,149.49
2022,12,21,0,95.0,0.02,92.52,4.47,152.63
2022,12,21,1,95.38,0.02,92.49,4.04,153.48
2022,12,21,2,96.06,0.02,92.49,3.52,154.8
2022,12,21,3,96.5,0.02,92.51,3.53,156.78
2022,12,21,4,96.5,0.03,92.56,3.86,154.94
2022,12,21,5,96.06,0.03,92.61,4.28,152.36
2022,12,21,6,91.56,0.03,92.66,5.0,149.51
2022,12,21,7,82.06,0.04,92.69,6.16,146.75
2022,12,21,8,71.12,0.05,92.69,6.44,144.83
2022,12,21,9,63.31,0.04,92.67,6.31,145.64
2022,12,21,10,58.31,0.06,92.63,6.33,148.27
2022,12,21,11,54.69,0.09,92.58,6.54,152.15
2022,12,21,12,52.19,0.1,92.53,6.96,155.05
2022,12,21,13,51.31,0.11,92.51,7.46,156.01
2022,12,21,14,51.5,0.09,92.51,7.83,155.17
2022,12,21,15,53.06,0.08,92.54,8.1,153.16
2022,12,21,16,57.5,0.06,92.58,8.14,150.43
2022,12,21,17,63.69,0.04,92.65,7.94,147.75
2022,12,21,18,74.62,0.05,92.73,6.95,146.56
2022,12,21,19,85.5,0.05,92.79,6.12,146.88
2022,12,21,20,90.88,0.04,92.82,6.05,145.94
2022,12,21,21,92.81,0.04,92.84,6.02,144.66
2022,12,21,22,93.44,0.04,92.84,5.88,142.83
2022,12,21,23,93.62,0.04,92.8,5.68,141.19
2022,12,22,0,93.81,0.03,92.73,5.61,140.65
2022,12,22,1,93.94,0.03,92.67,5.44,139.02
2022,12,22,2,94.38,0.03,92.63,5.1,137.73
2022,12,22,3,95.0,0.03,92.61,4.64,137.53
2022,12,22,4,95.75,0.03,92.63,4.28,137.37
2022,12,22,5,95.62,0.02,92.7,4.2,138.01
2022,12,22,6,90.12,0.03,92.77,5.31,137.44
2022,12,22,7,79.31,0.04,92.82,6.69,130.03
2022,12,22,8,69.19,0.05,92.85,6.59,125.29
2022,12,22,9,61.19,0.02,92.85,6.08,123.0
2022,12,22,10,56.06,0.03,92.81,5.65,123.95
2022,12,22,11,52.88,0.03,92.75,5.38,127.5
2022,12,22,12,50.62,0.03,92.68,5.34,133.28
2022,12,22,13,49.75,0.04,92.63,5.84,138.36
2022,12,22,14,51.94,0.04,92.61,6.84,141.12
2022,12,22,15,57.44,0.03,92.63,7.91,142.02
2022,12,22,16,63.19,0.03,92.67,8.48,140.65
2022,12,22,17,68.5,0.02,92.72,8.27,137.3
2022,12,22,18,76.56,0.01,92.78,7.24,134.13
2022,12,22,19,85.5,0.01,92.83,6.06,135.16
2022,12,22,20,90.31,0.01,92.89,5.8,136.04
2022,12,22,21,92.12,0.01,92.93,5.7,135.0
2022,12,22,22,91.81,0.01,92.95,5.75,132.91
2022,12,22,23,91.25,0.01,92.91,5.74,131.02
2022,12,23,0,91.12,0.01,92.84,5.49,129.74
2022,12,23,1,91.25,0.01,92.76,5.16,128.55
2022,12,23,2,91.31,0.01,92.71,4.82,125.57
2022,12,23,3,91.25,0.0,92.71,4.49,120.9
2022,12,23,4,91.44,0.0,92.77,4.22,115.57
2022,12,23,5,91.19,0.0,92.84,3.96,112.12
2022,12,23,6,86.56,0.0,92.9,4.25,104.16
2022,12,23,7,77.19,0.0,92.95,4.2,90.75
2022,12,23,8,67.62,0.0,92.97,3.27,77.99
2022,12,23,9,57.88,0.03,92.96,2.15,50.01
2022,12,23,10,51.75,0.11,92.89,1.51,356.44
2022,12,23,11,48.19,0.15,92.82,1.59,304.78
2022,12,23,12,46.44,0.21,92.74,1.98,282.06
2022,12,23,13,46.38,0.28,92.69,2.1,272.35
2022,12,23,14,47.69,0.33,92.65,1.86,256.43
2022,12,23,15,50.94,0.36,92.61,1.49,211.94
2022,12,23,16,58.06,0.34,92.62,2.51,161.85
2022,12,23,17,68.88,0.35,92.66,3.94,143.88
2022,12,23,18,81.69,0.26,92.74,4.86,136.3
2022,12,23,19,90.31,0.1,92.82,5.45,131.05
2022,12,23,20,92.38,0.06,92.87,5.94,124.61
2022,12,23,21,92.62,0.06,92.91,5.78,119.75
2022,12,23,22,93.12,0.09,92.91,5.52,118.12
2022,12,23,23,94.25,0.11,92.87,5.14,118.51
2022,12,24,0,95.0,0.12,92.81,4.81,117.69
2022,12,24,1,95.69,0.12,92.76,4.56,113.44
2022,12,24,2,96.31,0.1,92.72,4.29,105.2
