atributos,min,max,amplitude,media,mediana,desvio_padrao,assimetria,curtose
ACPOWER[W],0.0,10200.0,10200.0,2975.4733650478333,2630.0,2406.953956097813,0.46836933024669003,-0.8346256417053715
TODAYY[kWh],0.0,63.5,63.5,19.63778323778324,18.2,15.878619632613836,0.42940533180008156,-0.8790281888738369
TOTALY[kWh],17510.0,32957.0,15447.0,25214.264119051353,25314.0,3835.3798133247415,0.0074536198760701685,-0.9381527023815597
IGBT[C],18.3,76.1,57.8,44.63367080813889,43.5,11.87303840382776,0.2854589699154492,-0.8571474431111592
DCPOWER[W],0.0,10597.0,10597.0,3065.184176439496,2696.0,2457.666271382398,0.4838437125639053,-0.7990093595975529
HOUR,4.0,18.0,14.0,10.780629759353163,11.0,3.6299134018447163,0.0011210830971660174,-1.1397367533398408
ALLSKY_SW[Wh/m^2],0.0,1115.45,1115.45,342.34938162533905,269.12,335.86953610721207,0.4050083041785285,-1.2939954836513314
ALLSKY_SRF_ALB,-999.0,0.29,999.29,-313.99016362590834,0.15,463.8867060403646,-0.7994846777776835,-1.3608400558987237
SZA,4.92,90.0,85.08,60.895313921271374,62.74,27.201403368665954,-0.3335016767672704,-1.2897131194126041
CLRSKY_SFC_PAR_TOT,0.0,500.33,500.33,192.26460121630336,184.5,178.8819806154396,0.20480948800445495,-1.5626594356416503
UVA[W/m^2],0.0,69.0,69.0,20.99236081342464,15.57,20.88037496344718,0.44616928224086144,-1.2330660995324374
UVB[W/m^2],0.0,2.99,2.99,0.7200315983294707,0.33,0.8215129264311947,0.8058554685504751,-0.613083043159024
T2M[C],5.44,39.42,33.980000000000004,21.57646516923113,20.98,6.026265691554497,0.1906388799961117,-0.34235449633629056
T2MDEW[C],1.73,22.22,20.49,15.724932592166633,16.48,3.7231503544403246,-0.5254781605039697,-0.7047741295483263
T2MWET,6.13,26.92,20.790000000000003,18.650612740399975,19.06,4.065056545004937,-0.40412264803321524,-0.46511509770364645
QV2M[g/kg],4.64,18.17,13.530000000000001,12.325631240524855,12.63,2.805245866728266,-0.22921744606814567,-1.1373939230018975
RH2M[%],18.03,100.0,81.97,73.49263671795586,76.47,21.80574757083094,-0.523849102035093,-0.8562211548669647
PREC[mm/hour],0.0,265.98,265.98,2.8507591150144345,0.11,9.473053600358101,10.792438680777376,198.45829272100138
PS[kPa],91.92,94.15,2.230000000000004,93.00679532530599,93.0,0.34512390700934814,0.07515155338607604,-0.23974995977424562
WS10M[m/s],0.1,11.01,10.91,3.4826458373266878,3.17,1.6119867414493259,0.8449459245387865,0.745749690774963
WD10M[deg],0.0,359.8,359.8,179.95852486916317,136.0,118.96715577092549,0.15551944240746093,-1.5332171834933772
WS50M,0.14,14.2,14.059999999999999,4.8707170032701965,4.8,2.0362635883588904,0.3865638149440128,0.38030827475553464
WD50M,0.0,359.9,359.9,180.36647266221732,135.4,119.62038027849157,0.1528115179354663,-1.5498970355222625
ALLSKY_SFC_UV_INDEX,-999.0,18.08,1017.08,2.865731902114881,1.6,33.27167995955501,-29.493151353623954,885.2406554888038
CLRSKY_SW[Wh/m^2],0.0,1123.88,1123.88,423.06303262643684,410.27,391.4787823643948,0.1890199453932319,-1.5766843723748327
ALLSKY_KT,-999.0,0.82,999.82,-313.7240404040404,0.43,464.0669490588308,-0.7994843278614113,-1.360840113020748
