Time,Total Inverter Power(W)
2022-12-21 04:16:19,60.0
2022-12-21 04:21:19,60.0
2022-12-21 04:26:19,60.0
2022-12-21 04:31:22,60.0
2022-12-21 04:36:27,130.0
2022-12-21 04:41:33,370.0
2022-12-21 04:46:35,470.0
2022-12-21 04:51:39,690.0
2022-12-21 04:56:43,1030.0
2022-12-21 05:01:51,1320.0
2022-12-21 05:06:51,1720.0
2022-12-21 05:11:56,2140.0
2022-12-21 05:17:00,2620.0
2022-12-21 05:22:05,3020.0
2022-12-21 05:27:07,3540.0
2022-12-21 05:32:11,1920.0
2022-12-21 05:37:18,2730.0
2022-12-21 05:42:20,3030.0
2022-12-21 05:47:23,3000.0
2022-12-21 05:52:26,2970.0
2022-12-21 05:57:30,2920.0
2022-12-21 06:02:35,2890.0
2022-12-21 06:07:38,2890.0
2022-12-21 06:12:42,2900.0
2022-12-21 06:17:46,3180.0
2022-12-21 06:22:51,3090.0
2022-12-21 06:27:54,3280.0
2022-12-21 06:32:59,3570.0
2022-12-21 06:38:04,4670.0
2022-12-21 06:43:08,5150.0
2022-12-21 06:48:12,5150.0
2022-12-21 06:53:17,6360.0
2022-12-21 06:58:21,7180.0
2022-12-21 07:03:25,11310.0
2022-12-21 07:08:28,9400.0
2022-12-21 07:13:33,11860.0
2022-12-21 07:18:37,7450.0
2022-12-21 07:23:40,6450.0
2022-12-21 07:28:45,8260.0
2022-12-21 07:33:49,8740.0
2022-12-21 07:38:54,7670.0
2022-12-21 07:43:57,9460.0
2022-12-21 07:49:01,9540.0
2022-12-21 07:54:02,8970.0
2022-12-21 07:59:02,11150.0
2022-12-21 08:04:03,19820.0
2022-12-21 08:09:03,15450.0
2022-12-21 08:14:03,7840.0
2022-12-21 08:19:03,6600.0
2022-12-21 08:24:03,6310.0
2022-12-21 08:29:03,10720.0
2022-12-21 08:34:03,12940.0
2022-12-21 08:39:03,10890.0
2022-12-21 08:44:04,11370.0
2022-12-21 08:49:06,8650.0
2022-12-21 08:54:11,11470.0
2022-12-21 08:59:14,12690.0
2022-12-21 09:04:18,16120.0
2022-12-21 09:09:23,18690.0
2022-12-21 09:14:26,15020.0
2022-12-21 09:19:31,10700.0
2022-12-21 09:24:37,10880.0
2022-12-21 09:24:47,9800.0
2022-12-21 09:29:36,9870.0
2022-12-21 09:34:41,7330.0
2022-12-21 09:39:40,7070.0
2022-12-21 09:44:32,6770.0
2022-12-21 09:46:33,7300.0
2022-12-21 09:51:27,8050.0
2022-12-21 09:56:35,10340.0
2022-12-21 10:01:44,11560.0
2022-12-21 10:06:30,13260.0
2022-12-21 10:12:16,13050.0
2022-12-21 10:16:06,10000.0
2022-12-21 10:20:26,9200.0
2022-12-21 10:25:54,8020.0
2022-12-21 10:30:54,7310.0
2022-12-21 10:34:11,5870.0
2022-12-21 10:35:08,7360.0
2022-12-21 10:40:11,8620.0
2022-12-21 10:45:14,11740.0
2022-12-21 10:50:19,12190.0
2022-12-21 10:55:22,12900.0
2022-12-21 11:00:28,11660.0
2022-12-21 11:05:29,11790.0
2022-12-21 11:10:34,9210.0
2022-12-21 11:15:38,7750.0
2022-12-21 11:20:43,6920.0
2022-12-21 11:25:46,6880.0
2022-12-21 11:30:50,7630.0
2022-12-21 11:35:55,14220.0
2022-12-21 11:41:00,8230.0
2022-12-21 11:46:00,9010.0
2022-12-21 11:51:00,7980.0
2022-12-21 11:56:00,16290.0
2022-12-21 12:01:00,20760.0
2022-12-21 12:06:00,16480.0
2022-12-21 12:11:00,14920.0
2022-12-21 12:16:00,15070.0
2022-12-21 12:21:00,24630.0
2022-12-21 12:26:00,14970.0
2022-12-21 12:31:00,12250.0
2022-12-21 12:36:00,7330.0
2022-12-21 12:41:00,14530.0
2022-12-21 12:46:05,14540.0
2022-12-21 12:51:09,5970.0
2022-12-21 12:56:14,6270.0
2022-12-21 13:01:18,4730.0
2022-12-21 13:06:23,4650.0
2022-12-21 13:11:28,5110.0
2022-12-21 13:16:30,4050.0
2022-12-21 13:21:34,4750.0
2022-12-21 13:26:34,4920.0
2022-12-21 13:31:34,7600.0
2022-12-21 13:36:36,5080.0
2022-12-21 13:41:36,9090.0
2022-12-21 13:46:36,5430.0
2022-12-21 13:51:36,6080.0
2022-12-21 13:56:37,7350.0
2022-12-21 14:01:37,10230.0
2022-12-21 14:06:37,9730.0
2022-12-21 14:11:37,8550.0
2022-12-21 14:16:37,7830.0
2022-12-21 14:21:37,7570.0
2022-12-21 14:26:39,8140.0
2022-12-21 14:31:39,7340.0
2022-12-21 14:36:39,6420.0
2022-12-21 14:41:41,6240.0
2022-12-21 14:46:40,6400.0
2022-12-21 14:51:40,5790.0
2022-12-21 14:56:40,4800.0
2022-12-21 15:01:41,5520.0
2022-12-21 15:06:41,6870.0
2022-12-21 15:11:41,11420.0
2022-12-21 15:16:41,8010.0
2022-12-21 15:21:42,4780.0
2022-12-21 15:26:42,5030.0
2022-12-21 15:31:45,6720.0
2022-12-21 15:36:45,3980.0
2022-12-21 15:41:45,3730.0
2022-12-21 15:46:45,4460.0
2022-12-21 15:51:45,6740.0
2022-12-21 15:56:45,2790.0
2022-12-21 16:01:46,2630.0
2022-12-21 16:06:45,2270.0
2022-12-21 16:11:46,1780.0
2022-12-21 16:16:46,2580.0
2022-12-21 16:21:46,1800.0
2022-12-21 16:26:48,1880.0
